operation,operand_1,operand_2,correct_result
DIV,156,338,0.46153846153846156
MUL,715,851,608465
MUL,33,812,26796
MUL,570,968,551760
SUM,240,902,1142
POW,453,7,3914600201218781037
DIV,412,874,0.47139588100686497
POW,241,8,11379844838561358721
POW,284,1,284
DIV,17,436,0.0389908256880734
DIV,683,657,1.0395738203957383
SUM,71,477,548
SUM,104,1000,1104
DIV,268,602,0.44518272425249167
SUB,616,43,573
SUB,652,708,-56
POW,426,9,462047252296310925912576
SUB,270,652,-382
SUM,382,890,1272
DIV,641,99,6.474747474747475
SUB,896,252,644
MUL,548,377,206596
SUM,284,158,442
SUB,316,293,23
DIV,995,427,2.330210772833724
MUL,635,353,224155
MUL,194,83,16102
MUL,952,613,583576
MUL,780,467,364260
SUM,246,707,953
MUL,707,188,132916
POW,398,9,250580717628964127641088
SUM,529,729,1258
POW,56,7,1727094849536
MUL,472,608,286976
MUL,752,904,679808
MUL,859,735,631365
MUL,421,171,71991
MUL,218,727,158486
POW,943,1,943
POW,921,2,848241
POW,814,3,539353144
DIV,869,255,3.407843137254902
POW,376,6,2825706623205376
SUB,320,119,201
MUL,862,311,268082
SUM,889,346,1235
SUB,79,552,-473
POW,376,9,150207149435418497253376
MUL,787,420,330540
DIV,964,371,2.5983827493261455
POW,606,4,134862279696
DIV,393,694,0.5662824207492796
POW,772,3,460099648
POW,82,10,13744803133596058624
POW,463,6,9851127637605409
SUB,426,869,-443
MUL,752,116,87232
DIV,228,936,0.24358974358974358
DIV,332,403,0.8238213399503722
DIV,872,527,1.6546489563567361
SUM,884,536,1420
SUB,210,486,-276
SUM,651,334,985
MUL,980,515,504700
POW,175,2,30625
MUL,240,944,226560
DIV,879,954,0.9213836477987422
SUB,494,868,-374
MUL,751,376,282376
DIV,389,726,0.5358126721763086
SUB,414,654,-240
MUL,320,812,259840
SUM,14,496,510
POW,358,3,45882712
SUB,557,370,187
MUL,943,351,330993
SUM,972,854,1826
SUM,217,756,973
POW,197,3,7645373
DIV,375,927,0.4045307443365696
SUB,249,825,-576
MUL,534,53,28302
DIV,673,470,1.4319148936170212
POW,935,2,874225
MUL,884,559,494156
DIV,689,647,1.0649149922720247
MUL,305,620,189100
SUM,450,176,626
SUB,294,678,-384
DIV,833,164,5.079268292682927
SUM,552,564,1116
POW,536,4,82538991616
DIV,85,908,0.09361233480176212
DIV,787,915,0.8601092896174863
SUM,189,871,1060
SUM,722,161,883
POW,16,5,1048576
POW,716,7,96469750688003833856
POW,549,8,8252371216253628965601
DIV,292,35,8.342857142857143
DIV,860,769,1.1183355006501952
POW,167,3,4657463
POW,950,9,630249409724609375000000000
DIV,582,400,1.455
POW,274,10,2385094704704913351525376
SUB,19,749,-730
SUM,591,26,617
POW,456,6,8990607867641856
SUM,393,765,1158
SUM,972,346,1318
SUM,468,183,651
POW,102,6,1126162419264
MUL,514,351,180414
SUB,934,775,159
MUL,540,588,317520
DIV,55,336,0.1636904761904762
POW,611,9,11867818400323486016065091
SUM,658,323,981
DIV,544,352,1.5454545454545454
SUM,610,635,1245
POW,854,1,854
MUL,288,628,180864
SUM,257,790,1047
DIV,346,212,1.6320754716981132
SUM,564,623,1187
SUB,854,318,536
MUL,965,421,406265
MUL,896,438,392448
SUM,393,246,639
POW,692,9,36387720495461527928963072
POW,985,3,955671625
POW,788,9,117148291017723218524110848
SUM,936,586,1522
SUM,93,187,280
DIV,588,13,45.23076923076923
SUB,304,354,-50
SUB,683,783,-100
SUM,652,205,857
POW,511,2,261121
POW,368,6,2483630085505024
SUB,804,504,300
MUL,571,5,2855
SUB,171,47,124
MUL,519,566,293754
DIV,607,890,0.6820224719101123
SUM,712,868,1580
DIV,137,26,5.269230769230769
DIV,178,643,0.27682737169517885
MUL,478,499,238522
SUM,770,752,1522
SUB,549,923,-374
POW,994,3,982107784
SUB,908,944,-36
SUM,319,542,861
POW,917,6,594587827511515369
MUL,666,564,375624
SUM,440,602,1042
POW,444,6,7661218005651456
DIV,364,463,0.7861771058315334
DIV,14,490,0.02857142857142857
MUL,45,668,30060
SUM,625,472,1097
SUB,381,302,79
DIV,123,487,0.25256673511293637
SUB,230,43,187
MUL,151,647,97697
SUM,697,874,1571
MUL,14,571,7994
SUB,901,666,235
SUM,987,545,1532
POW,56,10,303305489096114176
SUM,332,820,1152
SUM,594,968,1562
MUL,423,220,93060
SUB,671,375,296
SUB,214,298,-84
SUM,215,649,864
SUM,138,746,884
SUM,633,7,640
POW,427,10,201501716594357766775242649
MUL,279,76,21204
DIV,758,498,1.5220883534136547
SUM,313,751,1064
SUM,999,316,1315
SUB,397,561,-164
POW,121,7,379749833583241
MUL,554,125,69250
POW,582,8,13163878864053053726976
MUL,687,116,79692
MUL,961,160,153760
SUM,571,439,1010
POW,743,3,410172407
SUB,834,618,216
DIV,532,546,0.9743589743589743
SUM,66,203,269
SUM,734,611,1345
SUB,617,306,311
SUB,50,788,-738
POW,521,10,1473591924952786487925133201
DIV,734,269,2.7286245353159853
DIV,350,90,3.888888888888889
MUL,813,780,634140
POW,64,7,4398046511104
SUB,748,728,20
MUL,349,813,283737
SUB,192,629,-437
DIV,3,994,0.0030181086519114686
POW,283,8,41142576392052822241
MUL,201,806,162006
SUM,738,271,1009
MUL,679,520,353080
SUM,962,15,977
SUM,843,301,1144
DIV,876,320,2.7375
MUL,514,397,204058
POW,373,4,19356878641
SUB,229,863,-634
SUM,491,72,563
POW,467,7,4844156483581198523
POW,85,4,52200625
POW,901,10,352572073521829551348516459001
SUM,811,542,1353
MUL,695,172,119540
SUB,746,468,278
SUM,129,328,457
DIV,629,93,6.763440860215054
MUL,220,996,219120
SUM,947,861,1808
SUB,751,834,-83
SUB,110,451,-341
MUL,355,118,41890
DIV,365,46,7.934782608695652
DIV,42,226,0.18584070796460178
POW,220,5,515363200000
POW,214,5,448816553824
POW,956,3,873722816
POW,401,9,268101567757470981763601
MUL,982,723,709986
SUB,844,731,113
SUB,763,931,-168
SUB,563,801,-238
SUM,172,910,1082
POW,926,7,583817228315046958976
SUM,841,826,1667
SUM,339,448,787
MUL,587,797,467839
DIV,716,5,143.2
DIV,126,968,0.13016528925619836
SUB,492,814,-322
SUM,795,82,877
DIV,613,715,0.8573426573426574
SUB,166,598,-432
SUB,374,864,-490
POW,190,7,8938717390000000
POW,502,9,2024573063252673153152512
POW,519,10,1417991339888823863766402801
DIV,108,333,0.32432432432432434
POW,202,2,40804
MUL,533,180,95940
SUM,272,935,1207
POW,395,6,3798241492515625
DIV,737,358,2.058659217877095
SUB,908,976,-68
POW,144,6,8916100448256
DIV,356,45,7.911111111111111
SUM,336,965,1301
SUB,470,347,123
MUL,892,551,491492
DIV,146,830,0.17590361445783131
SUM,119,91,210
MUL,332,322,106904
DIV,799,814,0.9815724815724816
SUM,479,478,957
SUB,180,146,34
SUM,220,815,1035
POW,327,6,1222605980803089
DIV,259,156,1.6602564102564104
DIV,260,545,0.47706422018348627
DIV,473,302,1.5662251655629138
DIV,359,812,0.4421182266009852
SUB,773,65,708
SUM,272,759,1031
MUL,352,990,348480
DIV,990,201,4.925373134328358
POW,251,2,63001
POW,216,10,221073919720733357899776
MUL,53,942,49926
DIV,282,844,0.3341232227488152
SUM,485,920,1405
SUB,479,761,-282
MUL,97,988,95836
SUM,191,471,662
DIV,73,629,0.11605723370429252
POW,320,3,32768000
MUL,46,224,10304
POW,675,5,140126044921875
MUL,337,896,301952
SUM,241,470,711
POW,701,2,491401
POW,582,9,7661377498878877269100032
MUL,680,890,605200
SUM,293,554,847
POW,602,7,28653352249202188928
DIV,679,756,0.8981481481481481
SUB,20,859,-839
MUL,263,139,36557
MUL,519,773,401187
SUB,687,185,502
MUL,725,538,390050
POW,595,2,354025
SUM,486,123,609
SUB,264,177,87
DIV,784,297,2.6397306397306397
SUB,614,391,223
MUL,968,514,497552
SUM,27,717,744
SUM,476,571,1047
SUM,279,986,1265
POW,621,9,13734865205329894235955981
MUL,341,477,162657
MUL,915,546,499590
MUL,257,566,145462
SUB,498,207,291
MUL,991,54,53514
POW,175,8,879638824462890625
POW,370,1,370
SUM,800,392,1192
MUL,826,328,270928
SUM,900,62,962
POW,154,4,562448656
SUM,558,338,896
MUL,972,380,369360
SUB,336,978,-642
SUB,173,107,66
MUL,929,349,324221
POW,693,6,110764198096878249
DIV,172,813,0.2115621156211562
SUB,364,896,-532
SUM,474,513,987
MUL,69,4,276
SUM,281,51,332
POW,167,7,3622557586593623
SUB,249,586,-337
MUL,787,789,620943
MUL,284,261,74124
SUB,929,650,279
SUM,352,727,1079
DIV,896,712,1.2584269662921348
POW,204,7,14703176545910784
SUM,869,304,1173
POW,159,1,159
MUL,756,887,670572
DIV,307,334,0.9191616766467066
DIV,442,209,2.1148325358851676
POW,406,9,299732821709746744055296
DIV,760,642,1.1838006230529594
POW,130,3,2197000
SUB,898,346,552
DIV,527,282,1.8687943262411348
MUL,685,477,326745
MUL,798,969,773262
MUL,375,431,161625
SUB,659,467,192
MUL,232,93,21576
POW,591,3,206425071
SUB,244,324,-80
MUL,333,852,283716
SUM,921,5,926
MUL,913,192,175296
DIV,740,914,0.8096280087527352
DIV,327,259,1.2625482625482625
POW,781,9,108108366404878733747637421
DIV,1000,579,1.7271157167530224
SUM,215,455,670
POW,624,1,624
SUB,582,581,1
SUB,939,365,574
SUM,515,533,1048
MUL,984,438,430992
POW,53,2,2809
SUB,931,104,827
SUB,765,689,76
SUM,790,83,873
POW,51,2,2601
MUL,22,464,10208
DIV,56,353,0.15864022662889518
DIV,899,823,1.0923450789793439
SUB,11,654,-643
POW,696,2,484416
SUB,264,705,-441
DIV,568,224,2.5357142857142856
DIV,612,507,1.2071005917159763
SUB,483,463,20
MUL,85,502,42670
MUL,303,215,65145
MUL,62,638,39556
MUL,490,534,261660
POW,452,4,41740124416
SUB,878,316,562
MUL,57,14,798
SUB,938,803,135
MUL,113,850,96050
DIV,291,263,1.1064638783269962
MUL,313,497,155561
DIV,80,629,0.1271860095389507
SUB,56,679,-623
POW,277,10,2659485890900719634874649
SUB,707,981,-274
MUL,538,85,45730
SUB,200,212,-12
POW,427,1,427
SUB,254,753,-499
POW,415,1,415
MUL,744,317,235848
DIV,304,732,0.41530054644808745
MUL,553,408,225624
SUM,669,562,1231
POW,921,2,848241
SUM,134,675,809
SUB,873,465,408
SUB,455,974,-519
SUB,724,425,299
SUB,104,563,-459
SUM,61,750,811
SUB,827,484,343
POW,105,5,12762815625
POW,242,9,2846677664508022518272
POW,936,5,718421372338176
SUB,518,594,-76
SUB,304,145,159
DIV,786,517,1.5203094777562862
SUM,345,274,619
SUB,904,436,468
SUM,785,385,1170
POW,667,10,17428432917974022716065643449
POW,357,4,16243247601
DIV,157,616,0.25487012987012986
SUM,776,905,1681
SUB,904,547,357
MUL,268,107,28676
MUL,871,285,248235
SUM,413,847,1260
MUL,599,489,292911
DIV,775,186,4.166666666666667
DIV,935,488,1.915983606557377
DIV,98,887,0.1104847801578354
SUM,520,650,1170
SUB,281,893,-612
MUL,545,908,494860
MUL,641,733,469853
SUM,670,765,1435
POW,326,3,34645976
DIV,907,303,2.9933993399339935
SUB,842,575,267
DIV,688,995,0.6914572864321608
SUB,680,904,-224
MUL,671,935,627385
SUM,515,4,519
SUB,612,387,225
DIV,194,367,0.5286103542234333
POW,635,8,26435638375398000390625
DIV,495,313,1.5814696485623003
SUB,237,655,-418
POW,815,6,293052649656390625
SUB,418,217,201
DIV,349,10,34.9
DIV,268,494,0.5425101214574899
DIV,577,509,1.1335952848722985
SUB,965,626,339
SUB,390,710,-320
MUL,54,787,42498
SUM,760,629,1389
SUM,158,944,1102
SUM,6,47,53
MUL,214,896,191744
POW,345,1,345
SUB,633,548,85
POW,270,8,28242953648100000000
SUM,613,977,1590
SUB,590,516,74
MUL,277,375,103875
POW,719,3,371694959
DIV,97,461,0.210412147505423
SUB,249,270,-21
SUM,115,518,633
SUM,986,381,1367
POW,548,7,14841025434966966272
DIV,763,110,6.9363636363636365
SUM,276,658,934
SUM,935,268,1203
POW,781,8,138423004359639863953441
DIV,646,704,0.9176136363636364
POW,493,5,29122898485693
SUB,84,243,-159
SUM,256,970,1226
DIV,909,533,1.7054409005628517
POW,310,10,8196282869808010000000000
SUM,719,24,743
SUM,457,711,1168
POW,609,9,11522736581470596021953889
DIV,55,911,0.06037321624588365
SUB,230,381,-151
MUL,205,755,154775
POW,580,8,12806308171801600000000
POW,131,2,17161
SUM,44,369,413
SUM,120,239,359
POW,624,9,14343703758792745103130624
MUL,451,219,98769
SUB,802,916,-114
SUB,713,857,-144
POW,429,1,429
POW,287,9,13211041919433685367327
SUM,53,177,230
MUL,770,725,558250
SUM,753,207,960
MUL,148,994,147112
DIV,652,467,1.3961456102783727
DIV,986,430,2.2930232558139534
DIV,642,598,1.0735785953177257
SUB,797,897,-100
DIV,19,206,0.09223300970873786
SUM,48,295,343
POW,2,4,16
DIV,410,454,0.9030837004405287
SUM,134,921,1055
MUL,434,432,187488
MUL,646,216,139536
SUM,201,85,286
MUL,373,152,56696
DIV,280,882,0.31746031746031744
SUM,878,839,1717
SUM,325,179,504
MUL,687,107,73509
MUL,545,856,466520
MUL,846,804,680184
MUL,92,230,21160
SUB,989,247,742
SUB,299,710,-411
MUL,323,78,25194
DIV,545,343,1.5889212827988337
SUB,393,162,231
SUM,927,672,1599
SUB,331,103,228
POW,327,10,13979045762098993055105649
POW,594,10,5468452571872757384253490176
SUM,740,869,1609
SUB,995,402,593
SUB,954,473,481
SUM,20,411,431
POW,4,3,64
MUL,105,143,15015
MUL,788,411,323868
SUB,413,224,189
SUB,652,953,-301
POW,635,6,65560514292015625
DIV,399,360,1.1083333333333334
SUM,833,299,1132
MUL,354,91,32214
SUM,414,944,1358
SUM,211,667,878
SUB,877,425,452
DIV,870,725,1.2
DIV,366,16,22.875
POW,63,4,15752961
MUL,338,51,17238
MUL,316,995,314420
POW,102,4,108243216
MUL,99,453,44847
DIV,737,51,14.450980392156863
DIV,698,650,1.073846153846154
POW,508,8,4435164151219413385216
SUM,72,70,142
MUL,477,767,365859
MUL,493,479,236147
SUB,380,509,-129
POW,833,5,401074459619393
SUM,157,232,389
POW,649,4,177410282401
SUB,468,374,94
SUM,486,718,1204
MUL,295,968,285560
SUB,533,509,24
DIV,644,445,1.447191011235955
SUM,933,306,1239
POW,92,10,43438845422363213824
SUB,606,941,-335
POW,14,7,105413504
SUM,451,629,1080
MUL,335,727,243545
SUB,809,201,608
SUB,620,549,71
SUM,931,723,1654
DIV,9,566,0.015901060070671377
MUL,412,800,329600
SUB,758,498,260
SUM,123,678,801
MUL,998,941,939118
SUM,968,572,1540
SUM,866,417,1283
SUM,975,854,1829
DIV,815,448,1.8191964285714286
DIV,493,855,0.5766081871345029
SUM,628,135,763
POW,318,7,328843937641410432
MUL,905,783,708615
SUB,1,448,-447
POW,318,4,10226063376
SUB,791,851,-60
DIV,160,650,0.24615384615384617
POW,108,10,215892499727278669824
MUL,314,566,177724
DIV,487,239,2.0376569037656904
POW,484,2,234256
POW,840,1,840
DIV,317,248,1.278225806451613
SUM,394,118,512
MUL,18,113,2034
SUM,688,414,1102
SUB,298,390,-92
POW,220,3,10648000
SUB,295,617,-322
DIV,210,492,0.4268292682926829
MUL,261,592,154512
POW,432,3,80621568
SUM,398,353,751
SUB,286,612,-326
SUM,75,983,1058
DIV,154,496,0.31048387096774194
SUB,79,565,-486
SUB,480,766,-286
POW,752,2,565504
SUB,643,338,305
DIV,882,286,3.0839160839160837
DIV,230,282,0.8156028368794326
POW,604,3,220348864
POW,966,4,870780120336
SUB,69,630,-561
MUL,855,726,620730
POW,344,9,67456838483748746952704
SUB,394,659,-265
MUL,810,980,793800
DIV,603,417,1.4460431654676258
SUB,532,854,-322
POW,741,8,90896186671394853482721
POW,286,10,3661510899651594831102976
POW,952,6,744426269646782464
SUM,801,842,1643
POW,651,2,423801
DIV,999,507,1.970414201183432
SUB,992,178,814
SUB,527,354,173
DIV,643,360,1.7861111111111112
POW,938,9,562115479992355096229800448
DIV,173,756,0.22883597883597884
SUM,226,875,1101
MUL,663,871,577473
DIV,651,718,0.9066852367688022
SUB,883,17,866
DIV,488,380,1.2842105263157895
SUM,669,928,1597
MUL,772,95,73340
POW,608,5,83084095520768
MUL,749,939,703311
SUM,742,684,1426
SUM,730,855,1585
MUL,872,926,807472
POW,710,10,32552435510098812010000000000
MUL,938,685,642530
DIV,61,457,0.13347921225382933
MUL,481,530,254930
DIV,126,866,0.14549653579676675
SUB,390,411,-21
DIV,56,267,0.20973782771535582
SUB,788,74,714
DIV,806,801,1.0062421972534332
MUL,213,385,82005
POW,239,6,186374892382561
MUL,114,544,62016
MUL,953,428,407884
MUL,332,582,193224
SUB,27,7,20
SUB,173,946,-773
DIV,134,31,4.32258064516129
SUM,223,45,268
MUL,886,398,352628
POW,263,7,87034259659851767
SUB,130,358,-228
SUB,261,33,228
SUB,189,341,-152
DIV,944,651,1.4500768049155146
SUB,105,415,-310
SUM,730,778,1508
DIV,579,376,1.5398936170212767
DIV,51,647,0.07882534775888717
MUL,25,119,2975
POW,101,8,10828567056280801
SUB,466,23,443
SUB,412,807,-395
POW,233,4,2947295521
MUL,911,197,179467
SUB,919,896,23
SUB,226,746,-520
DIV,498,597,0.8341708542713567
MUL,121,876,105996
SUB,863,80,783
MUL,189,221,41769
SUB,796,181,615
SUB,884,858,26
DIV,911,229,3.978165938864629
DIV,616,527,1.1688804554079697
SUB,80,768,-688
SUB,412,2,410
SUB,760,471,289
POW,396,9,239473065324351559827456
SUB,2,815,-813
SUM,738,306,1044
MUL,770,347,267190
DIV,950,316,3.0063291139240507
POW,680,1,680
SUB,120,50,70
DIV,503,932,0.5396995708154506
MUL,55,124,6820
DIV,65,103,0.6310679611650486
MUL,952,495,471240
SUM,389,676,1065
POW,287,7,160388518974780383
MUL,184,50,9200
SUM,970,380,1350
POW,238,6,181744694737984
SUB,712,717,-5
SUB,550,49,501
SUM,135,98,233
POW,698,3,340068392
POW,75,4,31640625
DIV,319,730,0.436986301369863
MUL,367,968,355256
MUL,659,869,572671
POW,702,8,58978931052887534797056
SUM,117,720,837
POW,231,2,53361
SUB,576,434,142
DIV,590,503,1.1729622266401591
SUB,302,238,64
DIV,531,756,0.7023809523809523
POW,576,8,12116574790945106558976
DIV,772,801,0.9637952559300874
SUB,629,224,405
MUL,798,619,493962
MUL,469,474,222306
DIV,979,669,1.4633781763826608
DIV,261,581,0.44922547332185886
POW,52,2,2704
POW,418,1,418
SUM,212,745,957
POW,853,7,328581583454079382237
SUB,58,5,53
POW,261,6,316113500535561
DIV,677,219,3.0913242009132422
DIV,131,966,0.13561076604554864
MUL,536,443,237448
MUL,303,655,198465
POW,878,10,272235751814867432349109863424
DIV,332,893,0.3717805151175812
SUB,749,799,-50
POW,35,9,78815638671875
MUL,420,510,214200
POW,59,3,205379
SUM,449,145,594
DIV,751,505,1.4871287128712871
SUB,242,393,-151
DIV,693,161,4.304347826086956
MUL,65,506,32890
SUM,305,495,800
DIV,22,533,0.04127579737335835
SUM,810,481,1291
POW,61,5,844596301
SUB,386,626,-240
DIV,614,142,4.323943661971831
SUM,834,680,1514
DIV,908,973,0.9331963001027749
POW,414,3,70957944
POW,996,1,996
SUM,122,832,954
POW,190,8,1698356304100000000
SUM,41,915,956
POW,307,5,2727042318307
SUB,741,356,385
MUL,801,452,362052
MUL,341,523,178343
SUM,763,7,770
POW,883,6,473984589097059769
SUM,427,800,1227
SUB,600,663,-63
SUM,889,772,1661
DIV,282,884,0.3190045248868778
SUB,912,331,581
SUB,259,264,-5
POW,164,7,3190854023266304
DIV,687,759,0.9051383399209486
MUL,809,335,271015
MUL,608,112,68096
DIV,121,815,0.14846625766871166
SUB,556,799,-243
SUB,939,859,80
SUM,352,210,562
POW,900,9,387420489000000000000000000
SUM,656,448,1104
MUL,541,256,138496
SUM,410,802,1212
SUB,492,701,-209
POW,997,8,976250493656412394510561
POW,916,8,495637079583622913130496
POW,278,8,35674538806191022336
DIV,225,928,0.24245689655172414
MUL,319,540,172260
POW,921,8,517698660846247508634561
POW,758,9,82608141324809683708425728
POW,969,8,777302771868399046149441
SUM,702,154,856
SUB,304,428,-124
SUB,31,643,-612
DIV,516,972,0.5308641975308642
POW,394,3,61162984
SUB,40,590,-550
MUL,805,551,443555
DIV,537,847,0.6340023612750886
SUM,422,951,1373
MUL,550,837,460350
POW,333,5,4094691316893
MUL,746,393,293178
DIV,560,165,3.393939393939394
DIV,433,236,1.8347457627118644
MUL,401,775,310775
DIV,281,104,2.701923076923077
SUM,714,853,1567
POW,613,4,141202341361
SUM,68,211,279
POW,67,2,4489
SUM,592,596,1188
SUB,999,547,452
SUM,913,240,1153
MUL,816,821,669936
DIV,111,104,1.0673076923076923
POW,433,4,35152125121
POW,758,2,574564
SUM,561,122,683
POW,903,5,600397329064743
POW,855,2,731025
MUL,211,183,38613
SUM,880,706,1586
SUM,817,157,974
SUM,820,904,1724
POW,797,1,797
SUM,42,89,131
SUM,492,758,1250
SUM,832,979,1811
DIV,38,720,0.05277777777777778
SUB,220,906,-686
POW,550,8,8373393789062500000000
SUB,239,797,-558
POW,601,9,10229873138518107756965401
SUM,162,788,950
SUB,940,562,378
SUB,570,563,7
SUB,760,849,-89
DIV,975,236,4.13135593220339
DIV,111,14,7.928571428571429
POW,703,8,59654416235884558133761
MUL,99,807,79893
SUM,782,777,1559
SUM,664,454,1118
POW,3,7,2187
SUM,164,165,329
SUM,782,612,1394
MUL,727,902,655754
POW,745,6,170976977915640625
POW,230,5,643634300000
POW,158,1,158
DIV,597,179,3.335195530726257
SUB,467,539,-72
DIV,303,904,0.33517699115044247
SUB,422,574,-152
MUL,836,563,470668
SUB,59,202,-143
POW,561,3,176558481
MUL,496,499,247504
SUM,376,827,1203
SUB,713,97,616
POW,228,1,228
SUB,25,187,-162
SUB,680,646,34
DIV,968,873,1.1088201603665522
MUL,378,539,203742
POW,668,6,88850274698727424
SUB,641,147,494
SUB,709,719,-10
DIV,758,427,1.775175644028103
SUM,73,604,677
SUB,75,854,-779
SUB,861,143,718
DIV,680,950,0.7157894736842105
POW,286,6,547263141046336
DIV,823,937,0.8783351120597652
MUL,44,706,31064
DIV,772,603,1.2802653399668324
DIV,391,835,0.4682634730538922
SUM,753,127,880
MUL,530,606,321180
MUL,942,467,439914
SUB,414,476,-62
DIV,647,273,2.36996336996337
SUM,368,585,953
POW,299,1,299
DIV,968,16,60.5
SUB,901,649,252
MUL,617,889,548513
MUL,448,769,344512
POW,545,1,545
MUL,790,607,479530
POW,863,8,307670860178904352216321
POW,769,9,94045291781735889577974529
DIV,170,551,0.308529945553539
POW,326,4,11294588176
SUB,600,414,186
SUB,793,730,63
POW,155,3,3723875
SUB,388,307,81
SUB,440,186,254
DIV,931,184,5.059782608695652
SUM,788,274,1062
POW,658,7,53404918335418932352
POW,389,7,1347867523649523629
MUL,865,171,147915
MUL,940,366,344040
SUM,420,67,487
SUB,952,309,643
SUB,823,962,-139
MUL,903,552,498456
SUB,844,615,229
POW,796,3,504358336
SUM,980,752,1732
SUM,114,419,533
SUB,429,285,144
DIV,531,761,0.6977660972404731
SUB,419,138,281
MUL,125,706,88250
DIV,143,433,0.3302540415704388
SUB,362,703,-341
POW,87,7,37725479487783
DIV,536,578,0.9273356401384083
SUM,622,968,1590
SUM,657,121,778
DIV,217,338,0.6420118343195266
SUM,655,725,1380
SUM,435,800,1235
SUB,325,82,243
POW,416,6,5182746699759616
SUB,333,803,-470
SUM,506,551,1057
POW,594,1,594
DIV,199,429,0.46386946386946387
SUM,969,489,1458
MUL,58,974,56492
SUB,857,162,695
MUL,446,846,377316
SUB,976,858,118
POW,912,10,398059857579334642760599732224
MUL,956,744,711264
SUM,335,338,673
DIV,56,151,0.3708609271523179
SUB,953,78,875
MUL,596,347,206812
SUB,614,614,0
SUB,957,948,9
POW,49,8,33232930569601
MUL,577,318,183486
POW,333,10,16766496980638930547173449
MUL,361,608,219488
POW,60,6,46656000000
MUL,353,4,1412
POW,128,6,4398046511104
POW,800,9,134217728000000000000000000
MUL,584,548,320032
MUL,804,173,139092
DIV,509,705,0.7219858156028369
SUB,706,321,385
SUM,441,774,1215
SUB,951,296,655
MUL,101,825,83325
SUM,39,102,141
POW,703,5,171702502583743
SUM,436,320,756
MUL,587,540,316980
SUB,581,674,-93
POW,64,4,16777216
DIV,558,450,1.24
POW,453,7,3914600201218781037
SUM,501,744,1245
